,STATE,STATEFP_x,STATE_NAME,STATEFP_y,COUNTYFP,Unnamed: 3,COUNTY_GEOID,COUNTYNAME,COUNTYGEOID
0,AL,01,Alabama,1,001,,,Autauga County,01001
1,AL,01,Alabama,1,003,,,Baldwin County,01003
2,AL,01,Alabama,1,005,,,Barbour County,01005
3,AL,01,Alabama,1,007,,,Bibb County,01007
4,AL,01,Alabama,1,009,,,Blount County,01009
5,AL,01,Alabama,1,011,,,Bullock County,01011
6,AL,01,Alabama,1,013,,,Butler County,01013
7,AL,01,Alabama,1,015,,,Calhoun County,01015
8,AL,01,Alabama,1,017,,,Chambers County,01017
9,AL,01,Alabama,1,019,,,Cherokee County,01019
10,AL,01,Alabama,1,021,,,Chilton County,01021
11,AL,01,Alabama,1,023,,,Choctaw County,01023
12,AL,01,Alabama,1,025,,,Clarke County,01025
13,AL,01,Alabama,1,027,,,Clay County,01027
14,AL,01,Alabama,1,029,,,Cleburne County,01029
15,AL,01,Alabama,1,031,,,Coffee County,01031
16,AL,01,Alabama,1,033,,,Colbert County,01033
17,AL,01,Alabama,1,035,,,Conecuh County,01035
18,AL,01,Alabama,1,037,,,Coosa County,01037
19,AL,01,Alabama,1,039,,,Covington County,01039
20,AL,01,Alabama,1,041,,,Crenshaw County,01041
21,AL,01,Alabama,1,043,,,Cullman County,01043
22,AL,01,Alabama,1,045,,,Dale County,01045
23,AL,01,Alabama,1,047,,,Dallas County,01047
24,AL,01,Alabama,1,049,,,DeKalb County,01049
25,AL,01,Alabama,1,051,,,Elmore County,01051
26,AL,01,Alabama,1,053,,,Escambia County,01053
27,AL,01,Alabama,1,055,,,Etowah County,01055
28,AL,01,Alabama,1,057,,,Fayette County,01057
29,AL,01,Alabama,1,059,,,Franklin County,01059
30,AL,01,Alabama,1,061,,,Geneva County,01061
31,AL,01,Alabama,1,063,,,Greene County,01063
32,AL,01,Alabama,1,065,,,Hale County,01065
33,AL,01,Alabama,1,067,,,Henry County,01067
34,AL,01,Alabama,1,069,,,Houston County,01069
35,AL,01,Alabama,1,071,,,Jackson County,01071
36,AL,01,Alabama,1,073,,,Jefferson County,01073
37,AL,01,Alabama,1,075,,,Lamar County,01075
38,AL,01,Alabama,1,077,,,Lauderdale County,01077
39,AL,01,Alabama,1,079,,,Lawrence County,01079
40,AL,01,Alabama,1,081,,,Lee County,01081
41,AL,01,Alabama,1,083,,,Limestone County,01083
42,AL,01,Alabama,1,085,,,Lowndes County,01085
43,AL,01,Alabama,1,087,,,Macon County,01087
44,AL,01,Alabama,1,089,,,Madison County,01089
45,AL,01,Alabama,1,091,,,Marengo County,01091
46,AL,01,Alabama,1,093,,,Marion County,01093
47,AL,01,Alabama,1,095,,,Marshall County,01095
48,AL,01,Alabama,1,097,,,Mobile County,01097
49,AL,01,Alabama,1,099,,,Monroe County,01099
50,AL,01,Alabama,1,101,,,Montgomery County,01101
51,AL,01,Alabama,1,103,,,Morgan County,01103
52,AL,01,Alabama,1,105,,,Perry County,01105
53,AL,01,Alabama,1,107,,,Pickens County,01107
54,AL,01,Alabama,1,109,,,Pike County,01109
55,AL,01,Alabama,1,111,,,Randolph County,01111
56,AL,01,Alabama,1,113,,,Russell County,01113
57,AL,01,Alabama,1,115,,,St. Clair County,01115
58,AL,01,Alabama,1,117,,,Shelby County,01117
59,AL,01,Alabama,1,119,,,Sumter County,01119
60,AL,01,Alabama,1,121,,,Talladega County,01121
61,AL,01,Alabama,1,123,,,Tallapoosa County,01123
62,AL,01,Alabama,1,125,,,Tuscaloosa County,01125
63,AL,01,Alabama,1,127,,,Walker County,01127
64,AL,01,Alabama,1,129,,,Washington County,01129
65,AL,01,Alabama,1,131,,,Wilcox County,01131
66,AL,01,Alabama,1,133,,,Winston County,01133
67,AK,02,Alaska,2,013,,,Aleutians East Borough,02013
68,AK,02,Alaska,2,016,,,Aleutians West Census Area,02016
69,AK,02,Alaska,2,020,,,Anchorage Municipality,02020
70,AK,02,Alaska,2,050,,,Bethel Census Area,02050
71,AK,02,Alaska,2,060,,,Bristol Bay Borough,02060
72,AK,02,Alaska,2,063,,,Chugach Census Area,02063
73,AK,02,Alaska,2,066,,,Copper River Census Area,02066
74,AK,02,Alaska,2,068,,,Denali Borough,02068
75,AK,02,Alaska,2,070,,,Dillingham Census Area,02070
76,AK,02,Alaska,2,090,,,Fairbanks North Star Borough,02090
77,AK,02,Alaska,2,100,,,Haines Borough,02100
78,AK,02,Alaska,2,105,,,Hoonah-Angoon Census Area,02105
79,AK,02,Alaska,2,110,,,Juneau City and Borough,02110
80,AK,02,Alaska,2,122,,,Kenai Peninsula Borough,02122
81,AK,02,Alaska,2,130,,,Ketchikan Gateway Borough,02130
82,AK,02,Alaska,2,150,,,Kodiak Island Borough,02150
83,AK,02,Alaska,2,158,,,Kusilvak Census Area,02158
84,AK,02,Alaska,2,164,,,Lake and Peninsula Borough,02164
85,AK,02,Alaska,2,170,,,Matanuska-Susitna Borough,02170
86,AK,02,Alaska,2,180,,,Nome Census Area,02180
87,AK,02,Alaska,2,185,,,North Slope Borough,02185
88,AK,02,Alaska,2,188,,,Northwest Arctic Borough,02188
89,AK,02,Alaska,2,195,,,Petersburg Borough,02195
90,AK,02,Alaska,2,198,,,Prince of Wales-Hyder Census Area,02198
91,AK,02,Alaska,2,220,,,Sitka City and Borough,02220
92,AK,02,Alaska,2,230,,,Skagway Municipality,02230
93,AK,02,Alaska,2,240,,,Southeast Fairbanks Census Area,02240
94,AK,02,Alaska,2,275,,,Wrangell City and Borough,02275
95,AK,02,Alaska,2,282,,,Yakutat City and Borough,02282
96,AK,02,Alaska,2,290,,,Yukon-Koyukuk Census Area,02290
97,AZ,04,Arizona,4,001,,,Apache County,04001
98,AZ,04,Arizona,4,003,,,Cochise County,04003
99,AZ,04,Arizona,4,005,,,Coconino County,04005
100,AZ,04,Arizona,4,007,,,Gila County,04007
101,AZ,04,Arizona,4,009,,,Graham County,04009
102,AZ,04,Arizona,4,011,,,Greenlee County,04011
103,AZ,04,Arizona,4,012,,,La Paz County,04012
104,AZ,04,Arizona,4,013,,,Maricopa County,04013
105,AZ,04,Arizona,4,015,,,Mohave County,04015
106,AZ,04,Arizona,4,017,,,Navajo County,04017
107,AZ,04,Arizona,4,019,,,Pima County,04019
108,AZ,04,Arizona,4,021,,,Pinal County,04021
109,AZ,04,Arizona,4,023,,,Santa Cruz County,04023
110,AZ,04,Arizona,4,025,,,Yavapai County,04025
111,AZ,04,Arizona,4,027,,,Yuma County,04027
112,AR,05,Arkansas,5,001,,,Arkansas County,05001
113,AR,05,Arkansas,5,003,,,Ashley County,05003
114,AR,05,Arkansas,5,005,,,Baxter County,05005
115,AR,05,Arkansas,5,007,,,Benton County,05007
116,AR,05,Arkansas,5,009,,,Boone County,05009
117,AR,05,Arkansas,5,011,,,Bradley County,05011
118,AR,05,Arkansas,5,013,,,Calhoun County,05013
119,AR,05,Arkansas,5,015,,,Carroll County,05015
120,AR,05,Arkansas,5,017,,,Chicot County,05017
121,AR,05,Arkansas,5,019,,,Clark County,05019
122,AR,05,Arkansas,5,021,,,Clay County,05021
123,AR,05,Arkansas,5,023,,,Cleburne County,05023
124,AR,05,Arkansas,5,025,,,Cleveland County,05025
125,AR,05,Arkansas,5,027,,,Columbia County,05027
126,AR,05,Arkansas,5,029,,,Conway County,05029
127,AR,05,Arkansas,5,031,,,Craighead County,05031
128,AR,05,Arkansas,5,033,,,Crawford County,05033
129,AR,05,Arkansas,5,035,,,Crittenden County,05035
130,AR,05,Arkansas,5,037,,,Cross County,05037
131,AR,05,Arkansas,5,039,,,Dallas County,05039
132,AR,05,Arkansas,5,041,,,Desha County,05041
133,AR,05,Arkansas,5,043,,,Drew County,05043
134,AR,05,Arkansas,5,045,,,Faulkner County,05045
135,AR,05,Arkansas,5,047,,,Franklin County,05047
136,AR,05,Arkansas,5,049,,,Fulton County,05049
137,AR,05,Arkansas,5,051,,,Garland County,05051
138,AR,05,Arkansas,5,053,,,Grant County,05053
139,AR,05,Arkansas,5,055,,,Greene County,05055
140,AR,05,Arkansas,5,057,,,Hempstead County,05057
141,AR,05,Arkansas,5,059,,,Hot Spring County,05059
142,AR,05,Arkansas,5,061,,,Howard County,05061
143,AR,05,Arkansas,5,063,,,Independence County,05063
144,AR,05,Arkansas,5,065,,,Izard County,05065
145,AR,05,Arkansas,5,067,,,Jackson County,05067
146,AR,05,Arkansas,5,069,,,Jefferson County,05069
147,AR,05,Arkansas,5,071,,,Johnson County,05071
148,AR,05,Arkansas,5,073,,,Lafayette County,05073
149,AR,05,Arkansas,5,075,,,Lawrence County,05075
150,AR,05,Arkansas,5,077,,,Lee County,05077
151,AR,05,Arkansas,5,079,,,Lincoln County,05079
152,AR,05,Arkansas,5,081,,,Little River County,05081
153,AR,05,Arkansas,5,083,,,Logan County,05083
154,AR,05,Arkansas,5,085,,,Lonoke County,05085
155,AR,05,Arkansas,5,087,,,Madison County,05087
156,AR,05,Arkansas,5,089,,,Marion County,05089
157,AR,05,Arkansas,5,091,,,Miller County,05091
158,AR,05,Arkansas,5,093,,,Mississippi County,05093
159,AR,05,Arkansas,5,095,,,Monroe County,05095
160,AR,05,Arkansas,5,097,,,Montgomery County,05097
161,AR,05,Arkansas,5,099,,,Nevada County,05099
162,AR,05,Arkansas,5,101,,,Newton County,05101
163,AR,05,Arkansas,5,103,,,Ouachita County,05103
164,AR,05,Arkansas,5,105,,,Perry County,05105
165,AR,05,Arkansas,5,107,,,Phillips County,05107
166,AR,05,Arkansas,5,109,,,Pike County,05109
167,AR,05,Arkansas,5,111,,,Poinsett County,05111
168,AR,05,Arkansas,5,113,,,Polk County,05113
169,AR,05,Arkansas,5,115,,,Pope County,05115
170,AR,05,Arkansas,5,117,,,Prairie County,05117
171,AR,05,Arkansas,5,119,,,Pulaski County,05119
172,AR,05,Arkansas,5,121,,,Randolph County,05121
173,AR,05,Arkansas,5,123,,,St. Francis County,05123
174,AR,05,Arkansas,5,125,,,Saline County,05125
175,AR,05,Arkansas,5,127,,,Scott County,05127
176,AR,05,Arkansas,5,129,,,Searcy County,05129
177,AR,05,Arkansas,5,131,,,Sebastian County,05131
178,AR,05,Arkansas,5,133,,,Sevier County,05133
179,AR,05,Arkansas,5,135,,,Sharp County,05135
180,AR,05,Arkansas,5,137,,,Stone County,05137
181,AR,05,Arkansas,5,139,,,Union County,05139
182,AR,05,Arkansas,5,141,,,Van Buren County,05141
183,AR,05,Arkansas,5,143,,,Washington County,05143
184,AR,05,Arkansas,5,145,,,White County,05145
185,AR,05,Arkansas,5,147,,,Woodruff County,05147
186,AR,05,Arkansas,5,149,,,Yell County,05149
187,CA,06,California,6,001,,,Alameda County,06001
188,CA,06,California,6,003,,,Alpine County,06003
189,CA,06,California,6,005,,,Amador County,06005
190,CA,06,California,6,007,,,Butte County,06007
191,CA,06,California,6,009,,,Calaveras County,06009
192,CA,06,California,6,011,,,Colusa County,06011
193,CA,06,California,6,013,,,Contra Costa County,06013
194,CA,06,California,6,015,,,Del Norte County,06015
195,CA,06,California,6,017,,,El Dorado County,06017
196,CA,06,California,6,019,,,Fresno County,06019
197,CA,06,California,6,021,,,Glenn County,06021
198,CA,06,California,6,023,,,Humboldt County,06023
199,CA,06,California,6,025,,,Imperial County,06025
200,CA,06,California,6,027,,,Inyo County,06027
201,CA,06,California,6,029,,,Kern County,06029
202,CA,06,California,6,031,,,Kings County,06031
203,CA,06,California,6,033,,,Lake County,06033
204,CA,06,California,6,035,,,Lassen County,06035
205,CA,06,California,6,037,,,Los Angeles County,06037
206,CA,06,California,6,039,,,Madera County,06039
207,CA,06,California,6,041,,,Marin County,06041
208,CA,06,California,6,043,,,Mariposa County,06043
209,CA,06,California,6,045,,,Mendocino County,06045
210,CA,06,California,6,047,,,Merced County,06047
211,CA,06,California,6,049,,,Modoc County,06049
212,CA,06,California,6,051,,,Mono County,06051
213,CA,06,California,6,053,,,Monterey County,06053
214,CA,06,California,6,055,,,Napa County,06055
215,CA,06,California,6,057,,,Nevada County,06057
216,CA,06,California,6,059,,,Orange County,06059
217,CA,06,California,6,061,,,Placer County,06061
218,CA,06,California,6,063,,,Plumas County,06063
219,CA,06,California,6,065,,,Riverside County,06065
220,CA,06,California,6,067,,,Sacramento County,06067
221,CA,06,California,6,069,,,San Benito County,06069
222,CA,06,California,6,071,,,San Bernardino County,06071
223,CA,06,California,6,073,,,San Diego County,06073
224,CA,06,California,6,075,,,San Francisco County,06075
225,CA,06,California,6,077,,,San Joaquin County,06077
226,CA,06,California,6,079,,,San Luis Obispo County,06079
227,CA,06,California,6,081,,,San Mateo County,06081
228,CA,06,California,6,083,,,Santa Barbara County,06083
229,CA,06,California,6,085,,,Santa Clara County,06085
230,CA,06,California,6,087,,,Santa Cruz County,06087
231,CA,06,California,6,089,,,Shasta County,06089
232,CA,06,California,6,091,,,Sierra County,06091
233,CA,06,California,6,093,,,Siskiyou County,06093
234,CA,06,California,6,095,,,Solano County,06095
235,CA,06,California,6,097,,,Sonoma County,06097
236,CA,06,California,6,099,,,Stanislaus County,06099
237,CA,06,California,6,101,,,Sutter County,06101
238,CA,06,California,6,103,,,Tehama County,06103
239,CA,06,California,6,105,,,Trinity County,06105
240,CA,06,California,6,107,,,Tulare County,06107
241,CA,06,California,6,109,,,Tuolumne County,06109
242,CA,06,California,6,111,,,Ventura County,06111
243,CA,06,California,6,113,,,Yolo County,06113
244,CA,06,California,6,115,,,Yuba County,06115
245,CO,08,Colorado,8,001,,,Adams County,08001
246,CO,08,Colorado,8,003,,,Alamosa County,08003
247,CO,08,Colorado,8,005,,,Arapahoe County,08005
248,CO,08,Colorado,8,007,,,Archuleta County,08007
249,CO,08,Colorado,8,009,,,Baca County,08009
250,CO,08,Colorado,8,011,,,Bent County,08011
251,CO,08,Colorado,8,013,,,Boulder County,08013
252,CO,08,Colorado,8,014,,,Broomfield County,08014
253,CO,08,Colorado,8,015,,,Chaffee County,08015
254,CO,08,Colorado,8,017,,,Cheyenne County,08017
255,CO,08,Colorado,8,019,,,Clear Creek County,08019
256,CO,08,Colorado,8,021,,,Conejos County,08021
257,CO,08,Colorado,8,023,,,Costilla County,08023
258,CO,08,Colorado,8,025,,,Crowley County,08025
259,CO,08,Colorado,8,027,,,Custer County,08027
260,CO,08,Colorado,8,029,,,Delta County,08029
261,CO,08,Colorado,8,031,,,Denver County,08031
262,CO,08,Colorado,8,033,,,Dolores County,08033
263,CO,08,Colorado,8,035,,,Douglas County,08035
264,CO,08,Colorado,8,037,,,Eagle County,08037
265,CO,08,Colorado,8,039,,,Elbert County,08039
266,CO,08,Colorado,8,041,,,El Paso County,08041
267,CO,08,Colorado,8,043,,,Fremont County,08043
268,CO,08,Colorado,8,045,,,Garfield County,08045
269,CO,08,Colorado,8,047,,,Gilpin County,08047
270,CO,08,Colorado,8,049,,,Grand County,08049
271,CO,08,Colorado,8,051,,,Gunnison County,08051
272,CO,08,Colorado,8,053,,,Hinsdale County,08053
273,CO,08,Colorado,8,055,,,Huerfano County,08055
274,CO,08,Colorado,8,057,,,Jackson County,08057
275,CO,08,Colorado,8,059,,,Jefferson County,08059
276,CO,08,Colorado,8,061,,,Kiowa County,08061
277,CO,08,Colorado,8,063,,,Kit Carson County,08063
278,CO,08,Colorado,8,065,,,Lake County,08065
279,CO,08,Colorado,8,067,,,La Plata County,08067
280,CO,08,Colorado,8,069,,,Larimer County,08069
281,CO,08,Colorado,8,071,,,Las Animas County,08071
282,CO,08,Colorado,8,073,,,Lincoln County,08073
283,CO,08,Colorado,8,075,,,Logan County,08075
284,CO,08,Colorado,8,077,,,Mesa County,08077
285,CO,08,Colorado,8,079,,,Mineral County,08079
286,CO,08,Colorado,8,081,,,Moffat County,08081
287,CO,08,Colorado,8,083,,,Montezuma County,08083
288,CO,08,Colorado,8,085,,,Montrose County,08085
289,CO,08,Colorado,8,087,,,Morgan County,08087
290,CO,08,Colorado,8,089,,,Otero County,08089
291,CO,08,Colorado,8,091,,,Ouray County,08091
292,CO,08,Colorado,8,093,,,Park County,08093
293,CO,08,Colorado,8,095,,,Phillips County,08095
294,CO,08,Colorado,8,097,,,Pitkin County,08097
295,CO,08,Colorado,8,099,,,Prowers County,08099
296,CO,08,Colorado,8,101,,,Pueblo County,08101
297,CO,08,Colorado,8,103,,,Rio Blanco County,08103
298,CO,08,Colorado,8,105,,,Rio Grande County,08105
299,CO,08,Colorado,8,107,,,Routt County,08107
300,CO,08,Colorado,8,109,,,Saguache County,08109
301,CO,08,Colorado,8,111,,,San Juan County,08111
302,CO,08,Colorado,8,113,,,San Miguel County,08113
303,CO,08,Colorado,8,115,,,Sedgwick County,08115
304,CO,08,Colorado,8,117,,,Summit County,08117
305,CO,08,Colorado,8,119,,,Teller County,08119
306,CO,08,Colorado,8,121,,,Washington County,08121
307,CO,08,Colorado,8,123,,,Weld County,08123
308,CO,08,Colorado,8,125,,,Yuma County,08125
309,CT,09,Connecticut,9,001,,,Fairfield County,09001
310,CT,09,Connecticut,9,003,,,Hartford County,09003
311,CT,09,Connecticut,9,005,,,Litchfield County,09005
312,CT,09,Connecticut,9,007,,,Middlesex County,09007
313,CT,09,Connecticut,9,009,,,New Haven County,09009
314,CT,09,Connecticut,9,011,,,New London County,09011
315,CT,09,Connecticut,9,013,,,Tolland County,09013
316,CT,09,Connecticut,9,015,,,Windham County,09015
317,DE,10,Delaware,10,001,,,Kent County,10001
318,DE,10,Delaware,10,003,,,New Castle County,10003
319,DE,10,Delaware,10,005,,,Sussex County,10005
320,DC,11,District of Columbia,11,001,,,District of Columbia,11001
321,FL,12,Florida,12,001,,,Alachua County,12001
322,FL,12,Florida,12,003,,,Baker County,12003
323,FL,12,Florida,12,005,,,Bay County,12005
324,FL,12,Florida,12,007,,,Bradford County,12007
325,FL,12,Florida,12,009,,,Brevard County,12009
326,FL,12,Florida,12,011,,,Broward County,12011
327,FL,12,Florida,12,013,,,Calhoun County,12013
328,FL,12,Florida,12,015,,,Charlotte County,12015
329,FL,12,Florida,12,017,,,Citrus County,12017
330,FL,12,Florida,12,019,,,Clay County,12019
331,FL,12,Florida,12,021,,,Collier County,12021
332,FL,12,Florida,12,023,,,Columbia County,12023
333,FL,12,Florida,12,027,,,DeSoto County,12027
334,FL,12,Florida,12,029,,,Dixie County,12029
335,FL,12,Florida,12,031,,,Duval County,12031
336,FL,12,Florida,12,033,,,Escambia County,12033
337,FL,12,Florida,12,035,,,Flagler County,12035
338,FL,12,Florida,12,037,,,Franklin County,12037
339,FL,12,Florida,12,039,,,Gadsden County,12039
340,FL,12,Florida,12,041,,,Gilchrist County,12041
341,FL,12,Florida,12,043,,,Glades County,12043
342,FL,12,Florida,12,045,,,Gulf County,12045
343,FL,12,Florida,12,047,,,Hamilton County,12047
344,FL,12,Florida,12,049,,,Hardee County,12049
345,FL,12,Florida,12,051,,,Hendry County,12051
346,FL,12,Florida,12,053,,,Hernando County,12053
347,FL,12,Florida,12,055,,,Highlands County,12055
348,FL,12,Florida,12,057,,,Hillsborough County,12057
349,FL,12,Florida,12,059,,,Holmes County,12059
350,FL,12,Florida,12,061,,,Indian River County,12061
351,FL,12,Florida,12,063,,,Jackson County,12063
352,FL,12,Florida,12,065,,,Jefferson County,12065
353,FL,12,Florida,12,067,,,Lafayette County,12067
354,FL,12,Florida,12,069,,,Lake County,12069
355,FL,12,Florida,12,071,,,Lee County,12071
356,FL,12,Florida,12,073,,,Leon County,12073
357,FL,12,Florida,12,075,,,Levy County,12075
358,FL,12,Florida,12,077,,,Liberty County,12077
359,FL,12,Florida,12,079,,,Madison County,12079
360,FL,12,Florida,12,081,,,Manatee County,12081
361,FL,12,Florida,12,083,,,Marion County,12083
362,FL,12,Florida,12,085,,,Martin County,12085
363,FL,12,Florida,12,086,,,Miami-Dade County,12086
364,FL,12,Florida,12,087,,,Monroe County,12087
365,FL,12,Florida,12,089,,,Nassau County,12089
366,FL,12,Florida,12,091,,,Okaloosa County,12091
367,FL,12,Florida,12,093,,,Okeechobee County,12093
368,FL,12,Florida,12,095,,,Orange County,12095
369,FL,12,Florida,12,097,,,Osceola County,12097
370,FL,12,Florida,12,099,,,Palm Beach County,12099
371,FL,12,Florida,12,101,,,Pasco County,12101
372,FL,12,Florida,12,103,,,Pinellas County,12103
373,FL,12,Florida,12,105,,,Polk County,12105
374,FL,12,Florida,12,107,,,Putnam County,12107
375,FL,12,Florida,12,109,,,St. Johns County,12109
376,FL,12,Florida,12,111,,,St. Lucie County,12111
377,FL,12,Florida,12,113,,,Santa Rosa County,12113
378,FL,12,Florida,12,115,,,Sarasota County,12115
379,FL,12,Florida,12,117,,,Seminole County,12117
380,FL,12,Florida,12,119,,,Sumter County,12119
381,FL,12,Florida,12,121,,,Suwannee County,12121
382,FL,12,Florida,12,123,,,Taylor County,12123
383,FL,12,Florida,12,125,,,Union County,12125
384,FL,12,Florida,12,127,,,Volusia County,12127
385,FL,12,Florida,12,129,,,Wakulla County,12129
386,FL,12,Florida,12,131,,,Walton County,12131
387,FL,12,Florida,12,133,,,Washington County,12133
388,GA,13,Georgia,13,001,,,Appling County,13001
389,GA,13,Georgia,13,003,,,Atkinson County,13003
390,GA,13,Georgia,13,005,,,Bacon County,13005
391,GA,13,Georgia,13,007,,,Baker County,13007
392,GA,13,Georgia,13,009,,,Baldwin County,13009
393,GA,13,Georgia,13,011,,,Banks County,13011
394,GA,13,Georgia,13,013,,,Barrow County,13013
395,GA,13,Georgia,13,015,,,Bartow County,13015
396,GA,13,Georgia,13,017,,,Ben Hill County,13017
397,GA,13,Georgia,13,019,,,Berrien County,13019
398,GA,13,Georgia,13,021,,,Bibb County,13021
399,GA,13,Georgia,13,023,,,Bleckley County,13023
400,GA,13,Georgia,13,025,,,Brantley County,13025
401,GA,13,Georgia,13,027,,,Brooks County,13027
402,GA,13,Georgia,13,029,,,Bryan County,13029
403,GA,13,Georgia,13,031,,,Bulloch County,13031
404,GA,13,Georgia,13,033,,,Burke County,13033
405,GA,13,Georgia,13,035,,,Butts County,13035
406,GA,13,Georgia,13,037,,,Calhoun County,13037
407,GA,13,Georgia,13,039,,,Camden County,13039
408,GA,13,Georgia,13,043,,,Candler County,13043
409,GA,13,Georgia,13,045,,,Carroll County,13045
410,GA,13,Georgia,13,047,,,Catoosa County,13047
411,GA,13,Georgia,13,049,,,Charlton County,13049
412,GA,13,Georgia,13,051,,,Chatham County,13051
413,GA,13,Georgia,13,053,,,Chattahoochee County,13053
414,GA,13,Georgia,13,055,,,Chattooga County,13055
415,GA,13,Georgia,13,057,,,Cherokee County,13057
416,GA,13,Georgia,13,059,,,Clarke County,13059
417,GA,13,Georgia,13,061,,,Clay County,13061
418,GA,13,Georgia,13,063,,,Clayton County,13063
419,GA,13,Georgia,13,065,,,Clinch County,13065
420,GA,13,Georgia,13,067,,,Cobb County,13067
421,GA,13,Georgia,13,069,,,Coffee County,13069
422,GA,13,Georgia,13,071,,,Colquitt County,13071
423,GA,13,Georgia,13,073,,,Columbia County,13073
424,GA,13,Georgia,13,075,,,Cook County,13075
425,GA,13,Georgia,13,077,,,Coweta County,13077
426,GA,13,Georgia,13,079,,,Crawford County,13079
427,GA,13,Georgia,13,081,,,Crisp County,13081
428,GA,13,Georgia,13,083,,,Dade County,13083
429,GA,13,Georgia,13,085,,,Dawson County,13085
430,GA,13,Georgia,13,087,,,Decatur County,13087
431,GA,13,Georgia,13,089,,,DeKalb County,13089
432,GA,13,Georgia,13,091,,,Dodge County,13091
433,GA,13,Georgia,13,093,,,Dooly County,13093
434,GA,13,Georgia,13,095,,,Dougherty County,13095
435,GA,13,Georgia,13,097,,,Douglas County,13097
436,GA,13,Georgia,13,099,,,Early County,13099
437,GA,13,Georgia,13,101,,,Echols County,13101
438,GA,13,Georgia,13,103,,,Effingham County,13103
439,GA,13,Georgia,13,105,,,Elbert County,13105
440,GA,13,Georgia,13,107,,,Emanuel County,13107
441,GA,13,Georgia,13,109,,,Evans County,13109
442,GA,13,Georgia,13,111,,,Fannin County,13111
443,GA,13,Georgia,13,113,,,Fayette County,13113
444,GA,13,Georgia,13,115,,,Floyd County,13115
445,GA,13,Georgia,13,117,,,Forsyth County,13117
446,GA,13,Georgia,13,119,,,Franklin County,13119
447,GA,13,Georgia,13,121,,,Fulton County,13121
448,GA,13,Georgia,13,123,,,Gilmer County,13123
449,GA,13,Georgia,13,125,,,Glascock County,13125
450,GA,13,Georgia,13,127,,,Glynn County,13127
451,GA,13,Georgia,13,129,,,Gordon County,13129
452,GA,13,Georgia,13,131,,,Grady County,13131
453,GA,13,Georgia,13,133,,,Greene County,13133
454,GA,13,Georgia,13,135,,,Gwinnett County,13135
455,GA,13,Georgia,13,137,,,Habersham County,13137
456,GA,13,Georgia,13,139,,,Hall County,13139
457,GA,13,Georgia,13,141,,,Hancock County,13141
458,GA,13,Georgia,13,143,,,Haralson County,13143
459,GA,13,Georgia,13,145,,,Harris County,13145
460,GA,13,Georgia,13,147,,,Hart County,13147
461,GA,13,Georgia,13,149,,,Heard County,13149
462,GA,13,Georgia,13,151,,,Henry County,13151
463,GA,13,Georgia,13,153,,,Houston County,13153
464,GA,13,Georgia,13,155,,,Irwin County,13155
465,GA,13,Georgia,13,157,,,Jackson County,13157
466,GA,13,Georgia,13,159,,,Jasper County,13159
467,GA,13,Georgia,13,161,,,Jeff Davis County,13161
468,GA,13,Georgia,13,163,,,Jefferson County,13163
469,GA,13,Georgia,13,165,,,Jenkins County,13165
470,GA,13,Georgia,13,167,,,Johnson County,13167
471,GA,13,Georgia,13,169,,,Jones County,13169
472,GA,13,Georgia,13,171,,,Lamar County,13171
473,GA,13,Georgia,13,173,,,Lanier County,13173
474,GA,13,Georgia,13,175,,,Laurens County,13175
475,GA,13,Georgia,13,177,,,Lee County,13177
